"genes","logFC","logCPM","PValue","FDR"
"2312",10.1607327535774,5.17296843765838,3.52516562604983e-05,0.633296004719851
"2568",-9.37365354387534,5.00870890525619,0.00074446824464692,1
"100128627",5.96400447633121,3.36796487898053,0.00122871210568781,1
"1281",-5.51416813507004,5.47639129902547,0.00124366174495428,1
"6469",-9.09128162440597,4.76446630423771,0.00135360806986973,1
"105373990",4.89845037558704,4.90593774702044,0.00141509157941801,1
"4584",5.64733779603581,4.00795245187399,0.00143016476738253,1
"727832",8.37793993430699,3.13269548479371,0.0017381077866102,1
"10202",4.94343741729181,3.8610355665658,0.00203076922861509,1
"196477",8.30605637459784,3.05695448752831,0.00209754172694804,1
"3651",5.71679687326038,3.11313459066429,0.00209754172694804,1
"10687",8.21325082453671,2.96061215675852,0.00255993028487363,1
"115572",5.62399132319925,3.02061055351603,0.00255993028487363,1
"3852",5.62399132319925,3.02061055351603,0.00255993028487363,1
"105376066",5.36704673221813,2.96655337508248,0.00284124130518941,1
"4250",8.11406233473261,2.85952502823801,0.00316410963532458,1
"283685",8.11406233473261,2.85952502823801,0.00316410963532458,1
"83889",8.11406233473261,2.85952502823801,0.00316410963532458,1
"431705",8.11406233473261,2.85952502823801,0.00316410963532458,1
"117157",5.52480283339515,2.92375891303119,0.00316410963532458,1
"101929567",4.69245485370014,3.60023150587657,0.00346180032348338,1
"25870",-5.60319974677053,4.73774271744096,0.00349719560022821,1
"29086",-8.57878854879946,4.32604039691176,0.00372428737046666,1
"94236",8.00754762365559,2.75323142837119,0.00396762097743713,1
"83851",8.00754762365559,2.75323142837119,0.00396762097743713,1
"285429",8.00754762365559,2.75323142837119,0.00396762097743713,1
"4477",-8.55973003338511,4.30985518913803,0.00401323480525068,1
"9111",-8.54041637388866,4.29346206712217,0.00401323480525068,1
"101927423",7.89253750740968,2.64119010052902,0.00505798983366153,1
"55384",7.89253750740968,2.64119010052902,0.00505798983366153,1
"146456",7.89253750740968,2.64119010052902,0.00505798983366153,1
"219287",5.30327800607222,2.7154326385866,0.00505798983366153,1
"5099",-8.43976822274671,4.20817724378311,0.00507511521914529,1
"79966",-8.41876770606922,4.19041297081409,0.00507511521914529,1
"29071",-8.3974569752688,4.17239720371456,0.00550917112604588,1
"166979",-4.75122669918285,4.81948349961652,0.00581207990750563,1
"406983",7.76755845907832,2.52275903570233,0.00657241731810422,1
"387804",7.76755845907832,2.52275903570233,0.00657241731810422,1
"284067",7.76755845907832,2.52275903570233,0.00657241731810422,1
"105373801",7.76755845907832,2.52275903570233,0.00657241731810422,1
"102546227",7.76755845907832,2.52275903570233,0.00657241731810422,1
