"genes","logFC","logCPM","PValue","FDR"
"7503",-7.10412879542495,6.91195171366463,9.31962181333857e-06,0.144733726761148
"26085",4.83534866076482,5.6215512814799,0.000639453828935623,1
"10562",4.69066539488714,5.48326941700416,0.000879186804270043,1
"273",4.63614902017169,5.24402118284756,0.00102645456412565,1
"105373990",4.58267519358917,4.97824908080021,0.00120920276070455,1
"10071",4.3605401047017,5.61900162478272,0.00161478571671411,1
"56999",4.28332443594339,5.78265868861958,0.00183628385939701,1
"63928",4.70983851783395,3.90822996379208,0.00211983750736889,1
"10202",4.70533813894861,4.14591012330052,0.00261076062347627,1
"146177",4.17659705030655,4.59826457930539,0.00287760243468621,1
"563",4.18452935595091,5.09052873445357,0.00292861464487235,1
"654463",4.55543472392265,3.76638378837897,0.00298543392467499,1
"57575",-3.91638353103569,5.32070856454433,0.00434301715936752,1
"9496",3.8265324407578,4.83928831112632,0.00511451198916966,1
"54848",3.81429538089807,4.66393600649642,0.00539520833205528,1
"201625",3.76163586835982,5.18349184158032,0.00552098786791079,1
"51715",-4.09594748280425,3.86382902382019,0.00552941530922256,1
"6286",3.75749837511226,5.05726005518666,0.00567252632773264,1
"100169751",-3.84049622377653,4.67227444463723,0.00586297402331912,1
"5175",4.15413208334419,4.02424188547426,0.0059696651974504,1
"5655",3.58816816880849,6.22762334380236,0.00628183064113575,1
"1281",-3.62430176106919,5.4198577312603,0.00669930108460415,1
"5327",3.65045265224966,4.82601761345496,0.00707735743249845,1
"100169756",-3.7782698402527,4.71640378066097,0.00731780679448866,1
"100169757",-3.7782698402527,4.71640378066097,0.00731780679448866,1
"100169755",-3.7765073022564,4.71482709541398,0.00731780679448866,1
"100169753",-3.77512093879142,4.71358704831262,0.00731780679448866,1
"100169754",-3.77512093879142,4.71358704831262,0.00731780679448866,1
"100169759",-3.76091464073883,4.72002608936586,0.00731780679448866,1
"100169758",-3.75827486459744,4.71766634914172,0.00731780679448866,1
"2568",-3.63559949577009,4.92220522324304,0.0082563809353235,1
"5104",3.55231333335836,5.10527651742072,0.00831741849244828,1
"347731",-3.89710159037975,3.68990579441002,0.00842668734817569,1
"1836",3.42103841299742,6.26582712306525,0.00881510200420888,1
"79740",3.5014093323563,4.82468792117088,0.00929875540664542,1
"79935",3.38354684827605,5.63129104724501,0.00940963124941661,1
"222256",3.81858666415426,4.02226435046614,0.00969972762451053,1
"25790",3.87784978623898,3.77543719533265,0.0103378894867569,1
"23026",3.30922769605049,5.81237365900161,0.0109762141522593,1
"2947",3.2624364194725,5.58850057499232,0.0120140117680189,1
