sample,genes
C15_I,9108
C15_I,163404
C15_I,27127
C15_I,398
C15_I,389170
C15_I,125893
C15_I,353219
C15_I,65989
C15_I,8707
C15_I,634
C15_I,51104
C15_I,80031
C15_I,26796
C15_I,132671
C15_I,64077
C15_I,60386
C15_I,54102
C15_I,3110
C15_I,163786
C15_I,100775107
C15_I,23566
C15_I,64377
C15_I,5452
C15_I,57333
C15_I,1950
C15_I,652995
C15_I,5021
C15_I,8611
C15_I,254559
C15_I,128240
C15_I,55090
C15_I,57657
C15_I,64147
C15_I,161497
C15_I,57103
C15_I,283652
C15_I,101927233
C15_I,6940
C15_I,5465
C15_I,105378176
C15_I,29074
C15_I,10398
C15_I,54962
C15_I,1636
C15_I,819
C15_I,8877
C15_I,55277
C15_I,255252
C15_I,10651
C15_I,102723390
C15_I,65996
C15_I,56624
C15_I,161142
C15_I,81932
C15_I,55508
C15_I,65258
C15_I,115825
C15_I,10071
C15_I,51282
C15_I,7753
C15_I,23475
C15_I,10873
C15_I,92
C15_I,1742
C15_I,399833
C15_I,10663
C15_I,10439
C15_I,84288
C15_I,2888
C15_I,203069
C15_I,400746
C15_I,54033
C15_I,11172
C15_I,123720
C15_I,1676
C15_I,23426
C15_I,10172
C15_I,203228
C15_I,346157
C15_I,90410
C15_I,6637
C15_I,284454
C15_I,91750
C15_I,51239
C15_I,60370
C15_I,4753
C15_I,54463
C15_I,154796
C15_I,90580
C15_I,4291
C15_I,4578
C15_I,100507650
C15_I,120
C15_I,100126512
C15_I,5281
C15_I,257106
C15_I,101927217
C15_I,339803
C15_I,51256
C15_I,130576
C15_I,55107
C15_I,3420
C15_I,11099
C15_I,8702
C15_I,338657
C15_I,51422
C15_I,100132352
C15_I,642236
C15_I,11145
C15_I,151556
C15_I,23378
C15_I,84069
C15_I,752014
C15_I,5187
C15_I,55829
C15_I,83590
C15_I,9702
C15_I,4575
C15_I,340706
C15_I,6322
C15_I,84532
C15_I,3338
C15_I,8825
C15_I,90637
C15_I,79866
C15_I,84133
C15_I,441191
C15_I,124923
C15_I,1723
C15_I,54432
C15_I,23035
C15_I,1514
C15_I,4564
C15_I,29777
C15_I,57505
C15_I,114818
C15_I,120534
C15_I,100505967
C15_I,160762
C15_I,101805492
C15_I,414328
C15_I,10248
C15_I,10920
C15_I,84246
C15_I,285331
C15_I,84795
C15_I,3747
C15_I,6546
C15_I,222236
C15_I,158
C15_I,57139
C15_I,253980
C15_I,9383
C15_I,54414
C15_I,26869
C15_I,6060
