gene,ï..sample,logFC,cell_line,E2_status,hgnc_symbol
822,Adrenal.3,-3.369862102,MCF7,E2,CAPG
824,Brain.3,-2.902443684,ZR751,ED,CAPN2
826,Brain.1,-3.202578543,ZR751,ED,CAPNS1
828,Bone.4,3.55958975,MCF7,E2,CAPS
831,Bone.4,-3.4172355,MCF7,E2,CAST
833,Bone.3,-3.615154237,MCF7,E2,CARS1
839,Bone.2,2.814147495,MCF7,E2,CASP6
842,Brain.3,3.149452862,ZR751,ED,CASP9
857,Adrenal.3,-4.852501772,MCF7,E2,CAV1
857,Brain.4,-3.221212429,MCF7,E2,CAV1
858,Adrenal.3,-4.680637254,MCF7,E2,CAV2
861,Bone.2,-3.306712897,MCF7,E2,RUNX1
890,Brain.1,-3.776980981,ZR751,ED,CCNA2
920,Bone.6,-3.20042745,ZR751,ED,CD4
921,Bone.2,6.265129424,MCF7,E2,CD5
948,Brain.4,3.169475609,MCF7,E2,CD36
948,Bone.6,-3.456742042,ZR751,ED,CD36
956,Kidney.1,3.839285011,MCF7,E2,ENTPD3
972,Bone.2,5.91520568,MCF7,E2,CD74
991,Bone.1,-3.783914236,MCF7,E2,CDC20
994,Brain.1,-3.453049332,ZR751,ED,CDC25B
998,Brain.3,-3.640239739,ZR751,ED,CDC42
1038,Brain.4,-2.671173546,MCF7,E2,CDR1
1038,Adrenal.3,-2.708405444,MCF7,E2,CDR1
1038,Bone.3,-3.92881472,MCF7,E2,CDR1
1047,Bone.3,2.719052166,MCF7,E2,CLGN
1048,Bone.2,2.729705598,MCF7,E2,CEACAM5
1048,Adrenal.3,-3.171598582,MCF7,E2,CEACAM5
1048,Bone.3,3.362749705,MCF7,E2,CEACAM5
1048,Kidney.1,-5.443710527,MCF7,E2,CEACAM5
1054,Brain.1,-3.324587696,ZR751,ED,CEBPG
1054,Bone.3,-4.404734465,MCF7,E2,CEBPG
1058,Bone.2,4.006042423,MCF7,E2,CENPA
1072,Brain.2,-3.610642169,ZR751,ED,CFL1
1106,Brain.2,-2.989171392,ZR751,ED,CHD2
1108,Brain.2,-3.534540494,ZR751,ED,CHD4
1124,Adrenal.1,3.120131135,MCF7,E2,CHN2
1124,Adrenal.1,3.120131135,MCF7,E2,
1176,Bone.3,-3.838561571,MCF7,E2,AP3S1
1191,Bone.3,-5.087834085,MCF7,E2,CLU
1192,Bone.4,-4.011764702,MCF7,E2,CLIC1
1193,Brain.4,3.369631516,MCF7,E2,CLIC2
1196,Kidney.1,-3.176910748,MCF7,E2,CLK2
1207,Bone.4,-3.069214154,MCF7,E2,CLNS1A
1213,Brain.2,-2.542996919,ZR751,ED,CLTC
1238,Bone.3,3.344912741,MCF7,E2,ACKR2
1265,Bone.3,-3.985991937,MCF7,E2,CNN2
1281,Adrenal.1,-4.187339405,MCF7,E2,COL3A1
1281,Bone.1,-5.480913334,MCF7,E2,COL3A1
1281,Adrenal.2,-3.624301761,MCF7,E2,COL3A1
1287,Adrenal.3,-2.930328016,MCF7,E2,COL4A5
1287,Bone.3,-3.423286849,MCF7,E2,COL4A5
1287,Bone.4,-2.929171284,MCF7,E2,COL4A5
1288,Brain.4,-2.768942841,MCF7,E2,COL4A6
1289,Bone.3,-3.216570176,MCF7,E2,COL5A1
1289,Brain.4,-3.04581849,MCF7,E2,COL5A1
1290,Brain.4,3.617490591,MCF7,E2,COL5A2
1294,Bone.2,3.632818698,MCF7,E2,COL7A1
1302,Bone.3,3.684035294,MCF7,E2,COL11A2
1303,Bone.3,-3.845218468,MCF7,E2,COL12A1
1326,Brain.4,3.523183292,MCF7,E2,MAP3K8
1326,Adrenal.1,2.458578997,MCF7,E2,MAP3K8
1326,Kidney.1,-3.431395981,MCF7,E2,MAP3K8
1345,Brain.4,2.684536419,MCF7,E2,COX6C
1345,Bone.2,-2.974874024,MCF7,E2,COX6C
1357,Brain.3,3.480982446,ZR751,ED,CPA1
1363,Brain.2,-4.106456273,ZR751,ED,CPE
1363,Brain.4,6.117066092,MCF7,E2,CPE
1363,Adrenal.1,4.991461527,MCF7,E2,CPE
1368,Kidney.1,4.160499161,MCF7,E2,CPM
1374,Bone.4,-4.09726414,MCF7,E2,CPT1A
1376,Brain.2,3.91915233,ZR751,ED,CPT2
1382,Adrenal.3,-4.155677819,MCF7,E2,CRABP2
1384,Brain.2,3.905817599,ZR751,ED,CRAT
1407,Bone.3,2.582133953,MCF7,E2,CRY1
1431,Bone.4,-3.088058596,MCF7,E2,CS
1462,Brain.4,-3.398761579,MCF7,E2,VCAN
1475,Brain.4,2.827097731,MCF7,E2,CSTA
1475,Adrenal.1,4.934088227,MCF7,E2,CSTA
1479,Brain.1,2.473395274,ZR751,ED,CSTF3
1486,Bone.3,3.532008133,MCF7,E2,CTBS
1495,Brain.2,-2.724893861,ZR751,ED,CTNNA1
1512,Bone.3,-3.47687951,MCF7,E2,CTSH
1514,Bone.4,2.725995396,MCF7,E2,CTSL
1522,Brain.3,3.274764794,ZR751,ED,CTSZ
1523,Bone.2,-4.171563976,MCF7,E2,CUX1
1525,Brain.1,-3.221707746,ZR751,ED,CXADR
1534,Bone.4,-4.313546644,MCF7,E2,CYB561
1537,Bone.3,-3.581652798,MCF7,E2,CYC1
1540,Bone.2,3.665638711,MCF7,E2,CYLD
1580,Kidney.1,3.623869373,MCF7,E2,CYP4B1
1591,Adrenal.1,-4.079098119,MCF7,E2,CYP24A1
1602,Brain.3,-3.24357419,ZR751,ED,DACH1
1606,Kidney.1,3.221346478,MCF7,E2,DGKA
1622,Brain.2,-3.370268863,ZR751,ED,DBI
1627,Brain.1,-3.807737305,ZR751,ED,DBN1
1627,Kidney.1,-3.841070718,MCF7,E2,DBN1
1636,Brain.4,3.761643299,MCF7,E2,ACE
1636,Bone.1,3.258161349,MCF7,E2,ACE
1641,Brain.1,3.929787936,ZR751,ED,DCX
1643,Bone.3,-3.142008757,MCF7,E2,DDB2
1646,Bone.1,-2.896733773,MCF7,E2,AKR1C2
1655,Bone.5,-3.528104355,MCF7,ED,DDX5
1660,Bone.2,-3.868646646,MCF7,E2,DHX9
1676,Bone.4,3.074087094,MCF7,E2,DFFA
1719,Bone.4,-4.265755906,MCF7,E2,DHFR
1723,Bone.4,2.746283776,MCF7,E2,DHODH
1729,Brain.3,-3.119216864,ZR751,ED,DIAPH1
1731,Brain.2,4.856253229,ZR751,ED,SEPTIN1
1742,Bone.4,3.140525772,MCF7,E2,DLG4
1748,Bone.3,3.157887655,MCF7,E2,DLX4
1767,Kidney.1,2.771784652,MCF7,E2,DNAH5
1769,Bone.6,-3.742605273,ZR751,ED,DNAH8
1773,Bone.1,-3.767517886,MCF7,E2,DNASE1
1783,Brain.3,-4.343228561,ZR751,ED,DYNC1LI2
1786,Bone.2,-3.918895208,MCF7,E2,DNMT1
1786,Bone.4,-4.281103912,MCF7,E2,DNMT1
1793,Brain.1,-2.909997272,ZR751,ED,DOCK1
1795,Bone.3,2.633804522,MCF7,E2,DOCK3
1819,Bone.2,3.229270268,MCF7,E2,DRG2
1822,Brain.2,-3.689492773,ZR751,ED,ATN1
1824,Adrenal.3,-2.858542324,MCF7,E2,DSC2
1829,Adrenal.3,-2.930666335,MCF7,E2,DSG2
1829,Bone.2,-3.544757853,MCF7,E2,DSG2
1836,Adrenal.3,4.927853319,MCF7,E2,SLC26A2
1836,Bone.3,2.817043389,MCF7,E2,SLC26A2
1836,Adrenal.1,5.553057536,MCF7,E2,SLC26A2
1836,Brain.4,3.73818262,MCF7,E2,SLC26A2
1836,Adrenal.2,3.421038413,MCF7,E2,SLC26A2
1838,Kidney.1,-3.880163388,MCF7,E2,DTNB
1847,Brain.3,4.553791412,ZR751,ED,DUSP5
1847,Brain.4,2.787509667,MCF7,E2,DUSP5
1857,Bone.4,-3.213497095,MCF7,E2,DVL3
1880,Brain.3,2.975008844,ZR751,ED,GPR183
1896,Bone.3,3.961847496,MCF7,E2,EDA
1903,Brain.4,2.846953958,MCF7,E2,S1PR3
1917,Bone.3,-2.780868179,MCF7,E2,EEF1A2
1917,Bone.2,-3.749031884,MCF7,E2,EEF1A2
1937,Brain.2,-2.73183592,ZR751,ED,EEF1G
1938,Brain.2,-3.180487926,ZR751,ED,EEF2
1938,Bone.5,-3.144167167,MCF7,ED,EEF2
1939,Kidney.1,-3.612545621,MCF7,E2,EIF2D
1946,Brain.4,-3.339658551,MCF7,E2,EFNA5
