"Geneid","logFC","unshrunk.logFC","logCPM","PValue","FDR","hgnc_symbol"
"100128675",-4.05508551308902,-4.22477305655822,2.54013204420375,0.0174409492299864,0.999918444357071,"HPN-AS1"
"100129842",-3.71386790330778,-3.88081865534086,2.27946635097855,0.0304666333813694,0.999918444357071,"ZNF737"
"100129858",-3.59946443512325,-3.76534143792092,2.19566980606076,0.0364231253503514,0.999918444357071,"SCOC-AS1"
"100130148",-3.94776642430859,-4.2678417784501,1.80451345958937,0.037543308476629,0.999918444357071,"MAPT-IT1"
"100130331",-5.27465543745884,-5.60664369190186,2.82055943920717,0.00408907920985102,0.999918444357071,""
"100169768",2.68062439274736,2.68354813330426,6.70327901178536,0.0437424546268739,0.999918444357071,"RNA5S17"
"100286979",-3.99387414927998,-4.23970321722531,2.09317073846629,0.0273803266603398,0.999918444357071,"ANAPC1P1"
"100302691",-4.93792242419615,-5.2678417784501,2.54160617795265,0.00753642395388936,0.999918444357071,"LINC00184"
"100499483",-3.97237534060873,-4.08726953280828,2.92672871169031,0.0142263424698206,0.999918444357071,"CCDC180"
"100506465",-3.71386790330778,-3.88081865534086,2.27946635097855,0.0304666333813694,0.999918444357071,"LINC01234"
"100506497",-3.59946443512325,-3.76534143792092,2.19566980606076,0.0364231253503514,0.999918444357071,""
"100506810",-3.53819838350296,-3.59541643647861,3.41050104610174,0.0189010083079041,0.999918444357071,"LINC01132"
"100507117",-3.09815629148495,-3.18037893719977,2.57095350087039,0.0496036276245938,0.999918444357071,"ASAP1-IT2"
"100507582",-4.64245113668554,-4.97010818857553,2.30766093588992,0.0125548214204157,0.999918444357071,"BHLHE40-AS1"
"10060",-4.67842967469529,-4.82423512697449,3.26389834805951,0.00476648455620566,0.999918444357071,"ABCC9"
"10071",-4.99269576414309,-5.03835993232734,5.10871812273786,0.000873619900228508,0.999918444357071,"MUC12"
"100996490",-4.70740857131143,-4.88081865534086,3.07762796972261,0.00544386613773991,0.999918444357071,"LINC01206"
"10133",-3.26691520781497,-3.35030393864208,2.69879564276091,0.0380443743670623,0.999918444357071,"OPTN"
"1016",-4.46757704893649,-4.63981055583706,2.87462855543734,0.00847129024129505,0.999918444357071,"CDH18"
"101927666",-3.87337354206313,-3.98773385925737,2.84580640397829,0.0169138173695732,0.999918444357071,"DYNLL2-DT"
"101928205",-3.86152937364773,-4.18037893719977,1.74715307391516,0.0425517444777139,0.999918444357071,"LINC02097"
"101928539",-4.01100932348239,-4.18037893719977,2.50559742506944,0.0187829639346198,0.999918444357071,"LINC02225"
"101929227",-3.81986211424578,-3.98773385925737,2.35875771108743,0.0257221108246412,0.999918444357071,""
"101929387",3.78377665066663,4.06754857624382,1.88287453276883,0.0475260995258258,0.999918444357071,"LMF1-AS1"
"101929423",-3.59946443512325,-3.76534143792092,2.19566980606076,0.0364231253503514,0.999918444357071,"MEF2C-AS1"
"101929657",-4.1061642499842,-4.42830645064335,1.91293928117785,0.0296412862220261,0.999918444357071,""
"101929717",-4.09785494296359,-4.2678417784501,2.57387660639499,0.0162211262555671,0.999918444357071,"LINC02044"
"10211",2.90740563419434,2.92422889497151,4.49159583419884,0.037117491490577,0.999918444357071,"FLOT1"
"10251",-4.59247073752202,-4.76534143792092,2.97962193719252,0.00674203777579332,0.999918444357071,"SPRY3"
"102723623",-3.98319992555713,-4.11701687620233,2.75372940205113,0.0159277663184022,0.999918444357071,""
"102723727",-4.65992959547833,-4.98773385925737,2.32119463926177,0.0121901065315635,0.999918444357071,"LPGAT1-AS1"
"102724301",3.67166427413682,3.81962106280024,2.46122625881365,0.0323309897825542,0.999918444357071,""
"103091866",-5.05943223815063,-5.44537996400229,2.47697340889181,0.0073398948361894,0.999918444357071,"LINC02591"
"103352670",-4.17928552423008,-4.50230703208713,1.96429987176902,0.026505261265312,0.999918444357071,"LINC01419"
"10406",-3.71386790330778,-3.88081865534086,2.27946635097855,0.0304666333813694,0.999918444357071,"WFDC2"
"10409",-3.59946443512325,-3.76534143792092,2.19566980606076,0.0364231253503514,0.999918444357071,"BASP1"
"104472714",-3.81986211424578,-3.98773385925737,2.35875771108743,0.0257221108246412,0.999918444357071,"DISC1-IT1"
"10485",-3.48797380533516,-3.57269635997852,2.87192553236211,0.0264827858443923,0.999918444357071,"MIR9-1HG"
"10516",-3.79455553931398,-3.88081865534086,3.12177663782085,0.0156068491883248,0.999918444357071,"FBLN5"
"105371242",-4.35171046266337,-4.94166421056138,1.56517341754059,0.0363370475200263,0.999918444357071,"PPIAL4H"
"10566",-3.34630516717064,-3.40277135853621,3.25118425896226,0.0264074925926479,0.999918444357071,"AKAP3"
"10687",-3.8945411266504,-4.0630219865616,2.41554903531327,0.0227804141974767,0.999918444357071,"PNMA2"
"1080",-4.46757704893649,-4.63981055583706,2.87462855543734,0.00847129024129505,0.999918444357071,"CFTR"
"10919",3.02600391022759,3.04888842225974,4.19303717048195,0.0328996074447701,0.999918444357071,"EHMT2"
"10964",-4.01100932348239,-4.18037893719977,2.50559742506944,0.0187829639346198,0.999918444357071,"IFI44L"
"11122",-4.51781888820922,-4.60664369190186,3.74853940365683,0.00401967430244678,0.999918444357071,"PTPRT"
"11174",-3.71386790330778,-3.88081865534086,2.27946635097855,0.0304666333813694,0.999918444357071,"ADAMTS6"
"11281",-4.46757704893649,-4.63981055583706,2.87462855543734,0.00847129024129505,0.999918444357071,"POU6F2"
"114088",-3.00002093026502,-3.05484805511591,2.97437556284194,0.0468076667909081,0.999918444357071,"TRIM9"
"1143",-4.33083778608473,-4.50230703208713,2.76157817596578,0.0108224123413531,0.999918444357071,"CHRNB4"
"114784",-3.73823094025762,-3.82423512697449,3.07507962442809,0.0172372695721886,0.999918444357071,"CSMD2"
"114788",-3.14678058271886,-3.18037893719977,3.74247379298058,0.0293819323287361,0.999918444357071,"CSMD3"
"114836",-3.59946443512325,-3.76534143792092,2.19566980606076,0.0364231253503514,0.999918444357071,"SLAMF6"
"115560",-4.09785494296359,-4.2678417784501,2.57387660639499,0.0162211262555671,0.999918444357071,"ZNF501"
"116843",-3.71386790330778,-3.88081865534086,2.27946635097855,0.0304666333813694,0.999918444357071,"SLC18B1"
"118429",-4.33083778608473,-4.50230703208713,2.76157817596578,0.0108224123413531,0.999918444357071,"ANTXR2"
"118611",-3.81986211424578,-3.98773385925737,2.35875771108743,0.0257221108246412,0.999918444357071,"C10orf90"
"121006",-2.94663875200214,-2.98773385925737,3.29028089151936,0.0449322835010199,0.999918444357071,"FAM186A"
"123103",-4.43953191635581,-4.76534143792092,2.1535207169217,0.0175600765893488,0.999918444357071,"KLHL33"
"126",-4.09785494296359,-4.2678417784501,2.57387660639499,0.0162211262555671,0.999918444357071,"ADH1C"
"126637",-4.70740857131143,-4.88081865534086,3.07762796972261,0.00544386613773991,0.999918444357071,"TCHHL1"
