"Geneid","logFC","unshrunk.logFC","logCPM","PValue","FDR","hgnc_symbol","sample"
"100126791",3.82754306318273,3.99047562138139,2.18392737419582,0.0253513209991,0.999954013176133,"EGOT","Adrenal.22"
"100128108",4.16222418546196,4.47590244855163,1.76665383350479,0.0272365926236839,0.999954013176133,"","Adrenal.22"
"100129940",4.50126570338164,4.66854752649402,2.72427587944559,0.00797577049204241,0.999954013176133,"HMGA2-AS1","Adrenal.22"
"100131726",3.7750497600608,4.08358502577287,1.50194217286372,0.0480642284341877,0.999954013176133,"FAM83A-AS1","Adrenal.22"
"100132529",3.67294285606585,3.75601036774436,2.84340408716724,0.0192700216948838,0.999954013176133,"TAT-AS1","Adrenal.22"
"100169751",-3.11633094558173,-3.13213338964027,4.53427391380512,0.0250324012013726,0.999954013176133,"RNA5S1","Adrenal.22"
"100169753",-3.17822634961606,-3.19405025905287,4.59335236375448,0.0223658775427626,0.999954013176133,"RNA5S2","Adrenal.22"
"100169754",-3.25290601103829,-3.26968052227391,4.58647851981994,0.0197835067762444,0.999954013176133,"RNA5S3","Adrenal.22"
"100169755",-3.25290601103829,-3.26968052227391,4.58647851981994,0.0197835067762444,0.999954013176133,"RNA5S4","Adrenal.22"
"100169756",-3.24377197578784,-3.26053407337408,4.5785295569117,0.0201171702174753,0.999954013176133,"RNA5S5","Adrenal.22"
"100169757",-3.24193820861536,-3.2586978045124,4.57693446885435,0.0201847688544656,0.999954013176133,"RNA5S6","Adrenal.22"
"100169758",-3.24193820861536,-3.2586978045124,4.57693446885435,0.0201847688544656,0.999954013176133,"RNA5S7","Adrenal.22"
"100169759",-3.22668981486765,-3.24325124324128,4.57832089050282,0.0206968034734947,0.999954013176133,"RNA5S8","Adrenal.22"
"100169760",-5.85245054519648,-5.85248026780143,16.2708132916761,5.03548863237333e-05,0.445483353594833,"RNA5S9","Adrenal.22"
"100169768",-2.60388424723261,-2.60501894598465,7.73620782681015,0.0480113338820433,0.999954013176133,"RNA5S17","Adrenal.22"
"100287616",-2.84257784630695,-2.863947554333,3.85624644563925,0.0438243462278461,0.999954013176133,"LOXL1-AS1","Adrenal.22"
"100506409",3.06567128387842,3.10595283880132,3.20710957021088,0.0368332585850406,0.999954013176133,"ELOVL2-AS1","Adrenal.22"
"100616436",-2.76539679298752,-2.7789114504772,4.40115848401682,0.0448921842353999,0.999954013176133,"MIR4449","Adrenal.22"
"100652824",3.25078131941506,3.33151253921645,2.50710148241229,0.0388967619376971,0.999954013176133,"KIAA2012","Adrenal.22"
"10071",4.4439465486021,4.45862445711979,5.9350020507434,0.00169825364674837,0.999954013176133,"MUC12","Adrenal.22"
"100859921",3.72883433652317,3.89093994783047,2.10936804866531,0.0296784445800159,0.999954013176133,"LINC00536","Adrenal.22"
"100874095",4.41112262409835,4.72744121554759,1.94846178789122,0.0184326937475659,0.999954013176133,"ADIPOQ-AS1","Adrenal.22"
"100874261",4.39746585192243,4.85297209763145,1.59553221134215,0.0273723375829731,0.999954013176133,"CCDC200","Adrenal.22"
"100996758",4.29203435715973,4.60714698182988,1.86039215538948,0.0222726223880541,0.999954013176133,"NPY4R2","Adrenal.22"
"10125",-4.31765758622731,-4.33145247350598,5.90745765674482,0.00222151502320801,0.999954013176133,"RASGRP1","Adrenal.22"
"10150",-4.00478089366358,-4.03189219164707,4.65895394498768,0.00544666221496768,0.999954013176133,"MBNL2","Adrenal.22"
"101927620",4.08864608092848,4.25351002721518,2.38713048170006,0.0164612008744421,0.999954013176133,"","Adrenal.22"
"101927666",2.96921417070928,3.02218448110872,2.77120258949499,0.0489815329081525,0.999954013176133,"DYNLL2-DT","Adrenal.22"
"101928687",-5.09060453320715,-5.11468460136341,5.88482311134025,0.000510642073756796,0.971256775302896,"LNCAROD","Adrenal.22"
"101954273",-3.4657831473747,-3.61685469236823,2.01349305130223,0.0442636104734958,0.999954013176133,"RNVU1-1","Adrenal.22"
"10205",-3.1688148333036,-3.17850981959731,5.26459373480999,0.0205621026903577,0.999954013176133,"MPZL2","Adrenal.22"
"10333",3.50850721102816,3.66854752649402,1.94772682726462,0.0417056597866544,0.999954013176133,"TLR6","Adrenal.22"
"10345",3.09139366105337,3.1710478670232,2.38580100170012,0.0499219115136299,0.999954013176133,"TRDN","Adrenal.22"
"10350",3.93379785606029,3.99047562138139,3.57204937908245,0.00913954720375505,0.999954013176133,"ABCA9","Adrenal.22"
"1038",-2.78903962577932,-2.80394024496872,4.29118480531203,0.043975339776234,0.999954013176133,"CDR1","Adrenal.22"
"10409",-2.85909430330788,-2.87577298972979,4.20695018245102,0.0399845743892349,0.999954013176133,"BASP1","Adrenal.22"
"1048",-3.25245629792522,-3.26221937418893,5.33828424372997,0.017600014966885,0.999954013176133,"CEACAM5","Adrenal.22"
"10561",-4.23310064865827,-4.27396697884522,4.31940633906991,0.00425930026476805,0.999954013176133,"IFI44","Adrenal.22"
"10655",4.23968250985616,4.40551312066023,2.50838988915057,0.0126999307889131,0.999954013176133,"DMRT2","Adrenal.22"
"10752",5.75878684093876,6.08358502577287,3.05946740845047,0.00163138080032282,0.999954013176133,"CHL1","Adrenal.22"
"10817",3.29845287228417,3.40551312066023,2.21913137343821,0.0432592715181414,0.999954013176133,"FRS3","Adrenal.22"
"10855",3.62287271347138,3.78402474391396,2.03078744082986,0.0350245418206775,0.999954013176133,"HPSE","Adrenal.22"
"10891",3.19941725140167,3.25351002721518,2.95342793918062,0.0337303866437191,0.999954013176133,"PPARGC1A","Adrenal.22"
