"genes","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"7503",-9.32888065074783,-9.49464285042187,7.20991178395039,1.99754907073771e-07,0.00344936773534988
"1363",6.10675290520685,6.11742270690903,7.86257934627596,3.65912825798538e-05,0.315929133794458
"347",5.76353151457493,5.77415927524312,7.52583373374331,8.09538023878749e-05,0.361108140923002
"23704",6.33073305532908,6.41918738216952,5.09659874801278,8.36479362805193e-05,0.361108140923002
"345557",-5.75487408138035,-5.78337012391866,6.11809123664998,0.000124848225366411,0.388439747152445
"10202",5.75163617590002,5.78745012234338,5.78517388902017,0.000140260220430785,0.388439747152445
"222",6.02665229243905,6.1148533472969,4.80283461140128,0.000165526123416296,0.388439747152445
"23213",-5.3536175757495,-5.36367837053495,7.19902270784134,0.000206827444831452,0.388439747152445
"100422830",6.29103625845127,6.4627766507172,4.16695972503279,0.000213899633221262,0.388439747152445
"2201",-6.27335803205729,-6.43733541226025,4.23021142288728,0.00022494773404705,0.388439747152445
"2977",-6.17509742118149,-6.33893170819926,4.13764754481938,0.000278450472548571,0.423111318636819
"5327",5.24222718959031,5.25848603575607,6.39914649876768,0.000302044358903514,0.423111318636819
"10125",-5.16918832128326,-5.17983918996789,6.93425476262965,0.000318534117574626,0.423111318636819
"10409",5.06243254489762,5.07863315938414,6.22560441123514,0.000451611551141475,0.557030590365071
"57575",-5.18112549738829,-5.21494299092381,5.31358154600858,0.000502547281170762,0.578532430083781
"5104",4.94310642299823,4.96527699124639,5.66231747545042,0.000664522250394614,0.717185638738387
"10561",-5.1834635383697,-5.23939603464834,4.62124370238223,0.000720335536459936,0.731691414328834
"63928",5.02637198176123,5.07045922793844,4.78087182402739,0.00081296877297519,0.757134644346669
"563",5.6547677684176,5.82534673010191,3.57001796233774,0.000833076108558415,0.757134644346669
"753",-4.72158937537265,-4.73689569411916,5.97515733442688,0.000957607805405397,0.781807870613439
"26085",5.57249681302392,5.74288456990994,3.49421057648293,0.000988233739336696,0.781807870613439
"29909",-4.63121070607946,-4.63942312819999,6.77019228668766,0.00099604894333424,0.781807870613439
"132430",-4.76781631718835,-4.79578938317273,5.1735149210786,0.00111481716597713,0.836985340091004
"55008",-4.68299135052367,-4.71090048558622,5.09375317905026,0.00133716335616108,0.962089034757897
"6445",4.67061260974144,4.71431541771317,4.44632021921714,0.00173482047242263,0.999989682495038
"115749",5.22294565669365,5.39238732282581,3.1764872538556,0.00201136173813786,0.999989682495038
"204962",5.18653221174435,5.35586144680069,3.14383463121228,0.00216268402394056,0.999989682495038
"3433",-4.82436066214599,-4.90682069556147,3.75734385789607,0.00218005978958147,0.999989682495038
"23639",4.65635739398678,4.71431541771317,4.04690175858511,0.00218717839452684,0.999989682495038
"100505967",4.17505194162561,4.17951970368651,7.18195783012153,0.0024376703932243,0.999989682495038
"2312",5.11082642278017,5.27991259356739,3.07624104495756,0.00251231572832125,0.999989682495038
"56164",5.11082642278017,5.27991259356739,3.07624104495756,0.00251231572832125,0.999989682495038
"100132708",5.45310593278409,5.7753311923948,2.61567618850771,0.00295233326686717,0.999989682495038
"316",4.65679686614524,4.74288456990994,3.51919756780634,0.00305141427690268,0.999989682495038
"116372",-4.65480141785229,-4.73689569411916,3.60406633625866,0.00306759767402803,0.999989682495038
"27443",4.30740287490641,4.33894806386435,4.5431072510221,0.00307421471392006,0.999989682495038
"624",4.08753887081344,4.09836522450833,5.82992763931031,0.00335434258681408,0.999989682495038
"1780",4.94634152931731,5.1148533472969,2.93081778860589,0.00346318408536955,0.999989682495038
"54809",-4.04112846985243,-4.04897600305018,6.24775473068877,0.00350633876593232,0.999989682495038
"29933",-4.116350687562,-4.13465520196617,5.12716610546573,0.00370252178515086,0.999989682495038
"80110",-4.54813937611424,-4.62998049020265,3.50851796536773,0.00379014595403098,0.999989682495038
"25849",4.18460998978368,4.21341718178049,4.54915521284523,0.00379119399045444,0.999989682495038
"219578",-4.85642086790962,-5.01700361331189,2.93912600565179,0.00413489338753447,0.999989682495038
"256764",4.00617154046762,4.02041854543885,5.36000661277497,0.00424637627144548,0.999989682495038
"7450",-5.26590137223038,-5.57339696183628,2.53860582188345,0.00424844209878864,0.999989682495038
"5314",4.11498308731825,4.14370820996908,4.48516940954016,0.00436764152978988,0.999989682495038
"151126",-4.8135161710471,-4.97393489142001,2.9019090768182,0.0044856976545421,0.999989682495038
"80183",-4.76929630785147,-4.92954077206156,2.86369933288498,0.00487602185937073,0.999989682495038
"101929206",4.07174433891903,4.10608313766917,4.19707553770398,0.00520267810447272,0.999989682495038
"100505811",4.37742621388828,4.4627766507172,3.26945836046781,0.00528590294527995,0.999989682495038
"118430",4.71025053928705,4.87781414999605,2.72583176352466,0.00542634003769068,0.999989682495038
"57526",4.07205547849052,4.1148533472969,3.89716379194141,0.00586923625029641,0.999989682495038
"10544",4.65801480863436,4.82534673010191,2.6811226718864,0.00598154029392274,0.999989682495038
"100191040",4.41702824684677,4.52989084657574,2.9493629111628,0.00631276036481511,0.999989682495038
"6004",4.60381649449838,4.77089894607954,2.63499505727623,0.00661262062950125,0.999989682495038
"5724",4.25227498899412,4.33724576863335,3.15941931661713,0.00671857929820609,0.999989682495038
"7052",-3.80082674900373,-3.81706604280314,4.9843928940595,0.00678470558441679,0.999989682495038
"1836",3.72787185034872,3.73788388885157,5.58267693492544,0.00691989197516727,0.999989682495038
"4286",3.92387728687538,3.95798449868003,4.06336764741405,0.00696941431848061,0.999989682495038
"3623",3.8173471267261,3.83864355271537,4.60956335068208,0.00706192443369004,0.999989682495038
"171019",-3.6800902283615,-3.68656401856901,6.16116605617574,0.00715748104213249,0.999989682495038
"283310",4.19512647590149,4.27991259356739,3.10958237213853,0.00748590985213171,0.999989682495038
"7078",3.70218469381064,3.71431541771317,5.2854220569975,0.00758035511106982,0.999989682495038
"103689846",-4.52524825170137,-4.68442827422502,2.65567703801152,0.00765612101080935,0.999989682495038
"100302170",-4.52524825170137,-4.68442827422502,2.65567703801152,0.00765612101080935,0.999989682495038
"3694",-3.66179498607391,-3.67029794539014,5.75624941648237,0.00773783384657298,0.999989682495038
"223117",-3.62493701798747,-3.62998049020265,6.46130673317287,0.00776436573311979,0.999989682495038
"56999",3.76346973812095,3.78470474560457,4.56072903161011,0.00785404589497915,0.999989682495038
"26834",-3.58318456811217,-3.58510550591489,7.80089199789366,0.00789974565693818,0.999989682495038
"9383",-3.68665504367574,-3.69940600612114,5.21008664086094,0.00799273539665166,0.999989682495038
"7366",3.62275787904716,3.62957793186334,6.02340693526127,0.00803975616659025,0.999989682495038
"2983",4.15572975443069,4.24038422938076,3.07538196508796,0.00806120004894428,0.999989682495038
"10317",3.84384256471204,3.87781414999605,3.99158404516666,0.00814541089391893,0.999989682495038
"2515",3.98352210270471,4.04008557889493,3.43988184198526,0.00831649062172475,0.999989682495038
"5079",-4.47106236368534,-4.62998049020265,2.61018351983541,0.0084441462257048,0.999989682495038
"5655",3.61990410958272,3.63117418241292,5.30751761769788,0.00879313959475028,0.999989682495038
"8519",-3.60990395469107,-3.6205124603785,5.39245693665043,0.00894086407168136,0.999989682495038
"346689",4.83927871414289,5.15792206918878,2.10403030502111,0.00901569769185489,0.999989682495038
"339479",-3.78479580210018,-3.81706604280314,4.0238397662494,0.00911503233519146,0.999989682495038
"1326",3.51284279383558,3.51547407380687,7.27564958940236,0.00921335251570457,0.999989682495038
"57586",3.92095227516568,3.97734982354696,3.38502027310368,0.00936203907872432,0.999989682495038
"348021",4.07355406922186,4.15792206918878,3.00446731146807,0.00939449851873338,0.999989682495038
"8325",-4.05858904902759,-4.13899413769051,3.07986820043452,0.00964727650831671,0.999989682495038
"387914",-4.05858904902759,-4.13899413769051,3.07986820043452,0.00964727650831671,0.999989682495038
"10720",4.79652133297286,5.1148533472969,2.06986650766015,0.00970714408765992,0.999989682495038
"79689",3.80955312477821,3.8518189414631,3.66325321312234,0.00975027856561031,0.999989682495038
"150",3.88861941019015,3.94492834585459,3.35679211009802,0.00994861785782691,0.999989682495038
"90649",3.51719263281982,3.52519915125102,5.68936816556041,0.0101451959647445,0.999989682495038
"100996624",4.03064158243863,4.1148533472969,2.96766869803822,0.0101685778620854,0.999989682495038
"81849",4.36403244005419,4.52989084657574,2.43429300958638,0.0102062860981793,0.999989682495038
"4128",3.54570950762681,3.55772505477247,5.1432666230203,0.0103181014054453,0.999989682495038
"5947",-4.35617423850976,-4.51450327278271,2.51461528093653,0.0103650758511019,0.999989682495038
"10622",-3.99909303031909,-4.07928789156624,3.02901090972406,0.0107597577090565,0.999989682495038
"100169959",-4.62670247900194,-4.88373708244843,2.19434822295469,0.0108232083453587,0.999989682495038
"11135",-3.97870300059758,-4.05882378900652,3.01164915908143,0.0111672184420723,0.999989682495038
"101060569",4.70700622969489,5.02465553832532,1.99903336701248,0.0113117920293211,0.999989682495038
"100653133",4.70700622969489,5.02465553832532,1.99903336701248,0.0113117920293211,0.999989682495038
"646802",4.69959920617216,5.01719008807875,1.99321486619221,0.0114546910513453,0.999989682495038
"53832",4.29729690490821,4.4627766507172,2.3794703177151,0.0114832074790993,0.999989682495038
"2912",-4.29510655265546,-4.45310272811857,2.46432689951203,0.0115402632803418,0.999989682495038
"3429",-3.39455443309107,-3.39752715128936,6.98430523082038,0.0117527580120755,0.999989682495038
"1290",3.60725367232321,3.63524384672197,4.02734045754591,0.0118276279213749,0.999989682495038
"100288122",-3.93703749415595,-4.01700361331189,2.97628126749498,0.0120439337243322,0.999989682495038
"102467147",-3.93703749415595,-4.01700361331189,2.97628126749498,0.0120439337243322,0.999989682495038
"7851",-4.67022169768654,-4.97393489142001,2.05138441134799,0.0121296210901841,0.999989682495038
"347731",-3.63090591640052,-3.66289511267538,3.88819916950483,0.0122077045090672,0.999989682495038
"1636",3.75151457632595,3.80742482210465,3.23805079381786,0.0128305324722475,0.999989682495038
"79740",-4.23133924637188,-4.38897239069885,2.41220717092824,0.0128947601368422,0.999989682495038
"55601",-3.36987105442374,-3.37534052511109,6.08972816691026,0.01296691458133,0.999989682495038
"649",-3.89413279729344,-3.97393489142001,2.9400178272611,0.0130117980540147,0.999989682495038
"10345",3.89366913153725,3.97734982354696,2.85132978186939,0.0130460937090456,0.999989682495038
"140711",-3.87219228124315,-3.95190858509001,2.92153585006587,0.0135335713793877,0.999989682495038
"84278",-3.87219228124315,-3.95190858509001,2.92153585006587,0.0135335713793877,0.999989682495038
"81035",3.8449609213527,3.92844022306602,2.81038510115112,0.0142359636657781,0.999989682495038
"3437",-3.41193858326025,-3.42779163958938,4.63556326451392,0.0144345442058578,0.999989682495038
"84848",4.5613709776559,4.87781414999605,1.88586432946914,0.0144353796798794,0.999989682495038
"2568",-3.30835817398868,-3.31420462229688,5.93320903593355,0.0147102664718583,0.999989682495038
"124872",4.15378351267635,4.31838674138203,2.26320788645046,0.0147307100515422,0.999989682495038
"1395",4.15378351267635,4.31838674138203,2.26320788645046,0.0147307100515422,0.999989682495038
"171482",4.15378351267635,4.31838674138203,2.26320788645046,0.0147307100515422,0.999989682495038
"9353",-4.09467034772085,-4.25146886694892,2.30190309020687,0.0162904239844355,0.999989682495038
"642515",-4.09467034772085,-4.25146886694892,2.30190309020687,0.0162904239844355,0.999989682495038
"857",-3.23154475409571,-3.23578724471665,6.31159979792029,0.0165228042269878,0.999989682495038
"6566",-3.75718681919323,-3.83643136767008,2.82536895069746,0.0165915682850618,0.999989682495038
"399694",3.52075560532492,3.56231232426812,3.41195366218414,0.0166696248529562,0.999989682495038
"6781",3.22607920006262,3.23092390013169,6.11140243070191,0.0168245878742348,0.999989682495038
"206338",3.74231486175567,3.82534673010191,2.72486570835891,0.0170706836123494,0.999989682495038
"100302277",4.45541377866164,4.77089894607954,1.80521089908903,0.0171684397690572,0.999989682495038
"53353",-3.30129874454966,-3.31559920436863,4.66942665370377,0.0173419651910085,0.999989682495038
"83872",-3.17437107273547,-3.17645551253207,7.26917566929847,0.0176612557350648,0.999989682495038
"84675",3.42964114735232,3.46277665071721,3.6275289211243,0.0177440513882912,0.999989682495038
"101927245",-4.43516508809995,-4.73689569411916,1.86960384146645,0.0178380975049584,0.999989682495038
"140803",-3.70848864519225,-3.78752176718913,2.78501766797448,0.0180643769614517,0.999989682495038
"55784",3.559495788541,3.61477974416225,3.07452286757741,0.0181520306818553,0.999989682495038
"12",3.17301308688363,3.17665863177037,6.46381406103816,0.0182017783488021,0.999989682495038
"1462",-3.40897553800396,-3.44050269133894,3.69564735882799,0.0183804798793701,0.999989682495038
"9196",-4.02115274968227,-4.17746828550514,2.24338993972272,0.0184297425661575,0.999989682495038
"3861",4.15647810637219,4.37204687454163,1.96495819304956,0.0190822738408117,0.999989682495038
"339862",3.28554998489357,3.30492448157547,4.21897703433693,0.0191315261540928,0.999989682495038
"1747",3.99440086219445,4.15792206918878,2.13684080432504,0.0192826275338214,0.999989682495038
"10690",-3.340757102403,-3.36694608436886,3.87929903048213,0.0193511579344619,0.999989682495038
"105221694",-3.5208308658757,-3.57339696183628,3.12981611273446,0.0193850064328096,0.999989682495038
"3852",3.66473176855131,3.74740358704536,2.66094163087885,0.0195399550559204,0.999989682495038
"129607",-3.65808906611566,-3.73689569411916,2.74349598044469,0.0197111476396071,0.999989682495038
"6097",3.1768368044796,3.18593644535838,5.16667121892414,0.0199015937689045,0.999989682495038
"8001",3.11585386624832,3.11882224949984,6.69971889924182,0.0200228931301813,0.999989682495038
"684",-3.1871722519748,-3.19757585895372,4.9993555761387,0.0201014559056477,0.999989682495038
"1193",3.35941897771654,3.39238732282581,3.56717764988535,0.0201459737742837,0.999989682495038
"105377819",3.63180239828669,3.71431541771317,2.63400157731607,0.0206813465153427,0.999989682495038
"2302",-3.9436866963378,-4.09946577350387,2.18238193447361,0.0209505731457486,0.999989682495038
"79633",-3.1328640552954,-3.14104487725527,5.28211990158512,0.0213958863734032,0.999989682495038
"4600",-3.46214173012023,-3.51450327278271,3.08071745618066,0.0214858034758515,0.999989682495038
"728378",3.12040593654617,3.1282187770861,5.32530067409798,0.0216318555951804,0.999989682495038
"54739",-3.0941194433023,-3.09946577350387,5.84385044757893,0.0218546865256863,0.999989682495038
"85376",4.12838558834017,4.36740966773718,1.83293020031355,0.0221263601512947,0.999989682495038
"7980",3.10501621810284,3.11277003279641,5.32049974754565,0.0222363373209774,0.999989682495038
"23495",3.90758008758044,4.07045922793844,2.06928783054457,0.0222548613309459,0.999989682495038
"1289",-3.05615760089232,-3.05882378900652,6.79622595048742,0.0223121528302639,0.999989682495038
"3486",3.12998047429795,3.14084855582984,4.8696738980987,0.0223580650856129,0.999989682495038
"58499",-3.0868437456557,-3.09303950434444,5.62771280730354,0.022495496310109,0.999989682495038
"283120",3.03420507680657,3.03527346731536,8.08358027461943,0.0225211021591042,0.999989682495038
"152485",-3.34983855023623,-3.38897239069885,3.35361857392546,0.0225634678052209,0.999989682495038
"1946",-3.34983855023623,-3.38897239069885,3.35361857392546,0.0225634678052209,0.999989682495038
"101928944",-3.4216458373668,-3.47386128828537,3.04702425164232,0.0230519326763246,0.999989682495038
"342945",-3.4216458373668,-3.47386128828537,3.04702425164232,0.0230519326763246,0.999989682495038
"420",-3.86182387161831,-4.01700361331189,2.11865672072458,0.0239409593194323,0.999989682495038
"7852",3.19398257486647,3.21730061626771,3.87552739725158,0.023952884018324,0.999989682495038
"2706",3.3149044615359,3.35586144680069,3.23724153592241,0.0240568293303228,0.999989682495038
"100505676",3.51211701008118,3.59402118399546,2.5370810014201,0.0253468861478919,0.999989682495038
"146177",3.18626688591173,3.21341718178049,3.6618885783243,0.0255712125410883,0.999989682495038
"113230",-3.22039437217445,-3.25146886694892,3.53514833381872,0.0257146269676179,0.999989682495038
"4938",-3.03646057905607,-3.04501798948149,5.12206881656089,0.0257192555529243,0.999989682495038
"53942",3.8151980134379,3.97734982354696,1.99844502696866,0.0258541724888778,0.999989682495038
"4322",3.8151980134379,3.97734982354696,1.99844502696866,0.0258541724888778,0.999989682495038
"129530",3.8151980134379,3.97734982354696,1.99844502696866,0.0258541724888778,0.999989682495038
"8817",3.8151980134379,3.97734982354696,1.99844502696866,0.0258541724888778,0.999989682495038
"3274",3.8151980134379,3.97734982354696,1.99844502696866,0.0258541724888778,0.999989682495038
"85477",3.8151980134379,3.97734982354696,1.99844502696866,0.0258541724888778,0.999989682495038
"3434",-2.98074985228772,-2.98513309802487,6.01060371342073,0.0264707811856408,0.999989682495038
"150221",3.70506544975561,3.84395069812977,2.08079919524361,0.0272156471153988,0.999989682495038
"151354",2.99239865277457,3.00006990004705,5.22179066138581,0.0273056504664906,0.999989682495038
"84166",-3.77503498529883,-3.92954077206156,2.05196085508315,0.0275144351434949,0.999989682495038
"317751",-3.77503498529883,-3.92954077206156,2.05196085508315,0.0275144351434949,0.999989682495038
"2902",-3.23061868075817,-3.26939077494618,3.25386652182383,0.0277607685717694,0.999989682495038
"105374278",3.13090164551678,3.15792206918878,3.61496168141831,0.0281824292873523,0.999989682495038
"1301",3.44833249317551,3.52989084657574,2.48608662473633,0.0281956817713549,0.999989682495038
"285266",3.44833249317551,3.52989084657574,2.48608662473633,0.0281956817713549,0.999989682495038
"429",2.99113765455055,3.00119656550133,4.83889527768643,0.0284412165863101,0.999989682495038
"57010",3.15903068916259,3.19147462889981,3.39740990695754,0.0286919084040717,0.999989682495038
"35",3.28922978786368,3.34347772234486,2.85040220782473,0.0290074342640604,0.999989682495038
"92370",-3.07747815455727,-3.09946577350387,3.8607028739847,0.0293611747577044,0.999989682495038
"400960",-3.40658011366165,-3.48412962373919,2.54012475348387,0.0300970505190793,0.999989682495038
"100616183",3.71649312570746,3.87781414999605,1.92397553091214,0.0302532932133202,0.999989682495038
"146395",3.71649312570746,3.87781414999605,1.92397553091214,0.0302532932133202,0.999989682495038
"105373480",3.71649312570746,3.87781414999605,1.92397553091214,0.0302532932133202,0.999989682495038
"23783",3.71649312570746,3.87781414999605,1.92397553091214,0.0302532932133202,0.999989682495038
"100506497",3.71649312570746,3.87781414999605,1.92397553091214,0.0302532932133202,0.999989682495038
"84952",2.93936113949895,2.94878067135019,4.87891382966547,0.0309043493618036,0.999989682495038
"80070",3.10854865013197,3.14084855582984,3.35524544397319,0.0312996595725081,0.999989682495038
"948",3.15929911870024,3.19974224488341,3.10788506493916,0.0314566380424525,0.999989682495038
"6091",-2.87528178406692,-2.87907570507857,6.10807401774657,0.0317127033086828,0.999989682495038
"715",-3.68268901608496,-3.83643136767008,1.98200372845815,0.0318190885041402,0.999989682495038
"145957",-3.68268901608496,-3.83643136767008,1.98200372845815,0.0318190885041402,0.999989682495038
"220441",3.00458079966929,3.02465553832532,3.89470064501575,0.0321541835011796,0.999989682495038
"440905",2.86069883852966,2.86594173447426,5.62699879247541,0.0332621217022279,0.999989682495038
"100129196",3.34703468270086,3.42801123255653,2.40607878870641,0.0332999829073259,0.999989682495038
"28965",-3.20012965596245,-3.25146886694892,2.86552888784124,0.0335527700060682,0.999989682495038
"100302175",-3.20012965596245,-3.25146886694892,2.86552888784124,0.0335527700060682,0.999989682495038
"10100",3.18658372826666,3.24038422938076,2.76730112713114,0.0344424583303232,0.999989682495038
"56241",3.18658372826666,3.24038422938076,2.76730112713114,0.0344424583303232,0.999989682495038
"3358",3.18658372826666,3.24038422938076,2.76730112713114,0.0344424583303232,0.999989682495038
"100874243",3.23852156125283,3.30311998472872,2.585844456768,0.0348450145518992,0.999989682495038
"7042",-2.90847818846298,-2.92167865428859,4.39089753469801,0.0348471673850894,0.999989682495038
"10082",-3.31195587261821,-3.38897239069885,2.46536174511331,0.0351029242011119,0.999989682495038
"653149",-2.84052255624357,-2.84688207036553,5.34113449625896,0.0352556493665373,0.999989682495038
"9148",3.31162404216304,3.39238732282581,2.3784011001351,0.0352656425804678,0.999989682495038
"23284",3.31162404216304,3.39238732282581,2.3784011001351,0.0352656425804678,0.999989682495038
"10397",2.78324931576803,2.78410723263645,8.13984885407041,0.0353120311091588,0.999989682495038
"3868",3.14269362868747,3.19223978141888,2.83147173857074,0.0355978527992185,0.999989682495038
"51601",-3.60933101422717,-3.7624307862263,1.92719585360276,0.0356428082643557,0.999989682495038
"114827",3.6105359267132,3.77089894607954,1.84548787423578,0.0356852407996596,0.999989682495038
"644919",3.6105359267132,3.77089894607954,1.84548787423578,0.0356852407996596,0.999989682495038
"51062",3.6105359267132,3.77089894607954,1.84548787423578,0.0356852407996596,0.999989682495038
"100309464",3.6105359267132,3.77089894607954,1.84548787423578,0.0356852407996596,0.999989682495038
"1556",3.6105359267132,3.77089894607954,1.84548787423578,0.0356852407996596,0.999989682495038
"5880",3.6105359267132,3.77089894607954,1.84548787423578,0.0356852407996596,0.999989682495038
"101929083",3.6105359267132,3.77089894607954,1.84548787423578,0.0356852407996596,0.999989682495038
"23439",3.6105359267132,3.77089894607954,1.84548787423578,0.0356852407996596,0.999989682495038
"445582",2.84098879271123,2.84864748483116,5.07042985304708,0.0358110563129035,0.999989682495038
"51129",2.94963777181809,2.97092355438753,3.76125582137231,0.035982134863827,0.999989682495038
"9846",2.87314330686168,2.88637616349947,4.337832003358,0.0368052194046016,0.999989682495038
"26813",-3.27898315063557,-3.35580552676365,2.43954672533682,0.037010052832991,0.999989682495038
"101928728",-3.58402534548572,-3.73689569411916,1.90844992972889,0.0370505219332216,0.999989682495038
"3770",-3.58402534548572,-3.73689569411916,1.90844992972889,0.0370505219332216,0.999989682495038
"4208",-3.58402534548572,-3.73689569411916,1.90844992972889,0.0370505219332216,0.999989682495038
"158787",-3.58402534548572,-3.73689569411916,1.90844992972889,0.0370505219332216,0.999989682495038
"1903",2.83664704649486,2.84624407099518,4.74892027675619,0.03718088490858,0.999989682495038
"2330",2.78946890516622,2.79424943335692,5.68511365752073,0.0374586381050454,0.999989682495038
"3914",-3.19012850973949,-3.25146886694892,2.63458778378737,0.037548387337066,0.999989682495038
"8372",-4.18434630027181,-4.61646568372817,1.3442092799957,0.0375882631481181,0.999989682495038
"55089",2.84734087479908,2.86053615856421,4.3159517257969,0.0384804268421905,0.999989682495038
"90102",2.88289860208424,2.90053422649613,3.95191423377543,0.0384845663250447,0.999989682495038
"2941",3.55448860336239,3.71431541771317,1.80459696920557,0.0388840032275837,0.999989682495038
"4599",-2.83981441516257,-2.8523729115391,4.39113863754226,0.038915602687104,0.999989682495038
"9465",-3.24523917750236,-3.32185819484032,2.4132573736397,0.0390541741848469,0.999989682495038
