"Geneid","logFC","unshrunk.logFC","logCPM","PValue","FDR","hgnc_symbol"
"1",4.74337932560286,4.80936252029526,3.47104232383444,0.00384161825952453,0.121364595082249,"A1BG"
"100134934",5.25821618675653,5.28329370862767,5.70754508359882,0.000369908316592073,0.0324594547809544,"TEN1"
"10015",-4.3824439180191,-4.39193807119237,8.57641594721882,0.011444425285246,0.192815677205825,"PDCD6IP"
"100302111",4.74859367662133,4.95775436018793,2.35993820203963,0.0334278506967182,0.287513099219752,"MIR1184-1"
"100302137",5.86048632803472,5.90889819384617,4.97918968779082,0.000132703321611896,0.0174670747071658,"MIR1914"
"100422977",4.74859367662133,4.95775436018793,2.35993820203963,0.0334278506967182,0.287513099219752,"MIR1184-3"
"100422985",4.74859367662133,4.95775436018793,2.35993820203963,0.0334278506967182,0.287513099219752,"MIR1184-2"
"100500811",6.56472433264011,7.13129061518262,2.33753500725328,0.002551756108452,0.105372516949018,"MIR3621"
"100526739",3.67337455996124,3.68650577250973,5.31082511575416,0.0107291753246955,0.185440196079031,"CENPS-CORT"
"100529145",4.14436665211989,4.1555381614293,6.13848213218983,0.00349637612082155,0.121364595082249,"TEN1-CDK3"
"100847035",6.88182992222117,6.93864553724023,6.34585844869964,1.12325050316768e-05,0.00473113111934226,"MIR548AR"
"101060684",-4.23498531754561,-4.24334497731735,8.6031188074947,0.0128734263680859,0.196324565301781,"NBPF26"
"10142",-3.73084655827068,-3.73392713126098,9.39897553888011,0.0136333346357317,0.198012432709316,"AKAP9"
"101928062",4.24684703769383,4.28329370862767,4.00325258065407,0.00627283874798357,0.151201006519202,"PRANCR"
"10205",2.86792999842239,2.87495086192284,5.81153623403496,0.0424580575197948,0.319378647254102,"MPZL2"
"10236",-3.91864946405857,-3.92331370277805,9.04691127956211,0.0130961699281943,0.197003813348409,"HNRNPR"
"102723809",6.83957595338285,6.86825620934883,8.18455574613245,8.13271509571069e-06,0.00428187449789168,""
"10295",2.7076988719352,2.71095881623426,7.12477936442273,0.047333281823651,0.33100325263703,"BCKDK"
"10297",3.25396221513736,3.26622019526873,5.11527534296923,0.0251778381054294,0.253705871052796,"APC2"
"10336",-3.96528353873564,-3.97461789338854,8.22476958915548,0.0225504878320382,0.241072727788184,"PCGF3"
"10392",4.9132741525633,4.91716580982977,9.58730046492931,0.000483354158073808,0.0391516868039784,"NOD1"
"10437",3.00414907017202,3.00696248018042,7.76264688457175,0.0268247437943741,0.255624029099329,"IFI30"
"10643",3.77721418177989,3.80936252029526,3.92547809701693,0.0169074522471877,0.20945349666222,"IGF2BP3"
"1072",-3.64207775158872,-3.64514241726211,9.32430731435837,0.015957810966266,0.206974941240422,"CFL1"
"10765",-4.07954335001086,-4.08424238456303,9.18251467855996,0.00984700903157075,0.175302533645192,"KDM5B"
"10905",-5.18431749682012,-5.19401483990706,9.25656247881673,0.00270107523634278,0.107329517881847,"MAN1A2"
"10956",-4.74937249187482,-4.75897366183849,8.88657434660403,0.00604066668135955,0.149666400364038,"OS9"
"1106",-3.02065789019585,-3.02145515206107,10.4813511055502,0.0287654151101325,0.268441445844764,"CHD2"
"1108",-3.5659935610559,-3.56828183810465,9.62577029221163,0.0155080617658569,0.205716987168764,"CHD4"
"11160",-4.3309077776654,-4.34038459920942,8.53294157670236,0.0124801039456762,0.196324565301781,"ERLIN2"
"11226",-4.49308346037795,-4.5026127941659,8.66980741460234,0.00947714956495992,0.175077868278996,"GALNT6"
"11273",-4.07849551900915,-4.08787790527954,8.32016981462433,0.0188579934079639,0.223981007021936,"ATXN2L"
"113235",3.70045975698056,3.70679278665471,6.88217259893721,0.00772443414669447,0.167303842266323,"SLC46A1"
"114599",-5.8390519138808,-5.84884896245654,9.82123059861033,0.000738635597808598,0.0479923549118895,"SNORD15B"
"114825",3.25422947181183,3.25682149726648,8.24114670048147,0.0163857460801062,0.206974941240422,"PWWP2A"
"115950",6.33990328989615,6.35955960285574,8.26528610220062,2.35011552031039e-05,0.0061866791072171,"ZNF653"
"116412",4.7317028197486,4.76872053579791,4.3135144718615,0.00188026755386418,0.0899964424644991,"ZNF837"
"124044",5.28704843277192,5.30121561662493,7.305888357675,0.000264548433316284,0.0278569500282047,"SPATA2L"
"124808",3.10004663830493,3.10249335087519,8.16338594767999,0.0219553933804575,0.238418398663577,"CCDC43"
"132720",3.31111475095953,3.31500256835501,7.4663357704664,0.0155313394871004,0.205716987168764,"FAM241A"
"133",8.6254583425925,8.93864553724022,4.97685060260665,1.11515029706854e-06,0.00117425326281317,"ADM"
"133022",5.68227250788509,5.71625311590378,5.58208968184252,0.000156963743312584,0.0194450378480177,"TRAM1L1"
"134145",3.12425208131141,3.13129061518262,6.02502804937269,0.0259658308279199,0.255398369587549,"ATPSCKMT"
"1363",-4.13775277983155,-4.14715884303786,8.37010615914663,0.0171459731498814,0.211166195635381,"CPE"
"1376",3.88766089840078,3.89425141788177,7.03977882804035,0.00522147405685517,0.139195245110595,"CPT2"
"1384",3.8743171626153,3.87671778809702,9.1807948750179,0.00456960544870353,0.131360059565045,"CRAT"
"140685",3.74648950508696,3.75783221965518,5.66287191295946,0.00852951781875769,0.170696424800766,"ZBTB46"
"140890",-4.86330062374653,-4.87292985113557,8.98318985704337,0.00491591543356185,0.134453479260795,"SREK1"
"144811",3.27388979098133,3.27783927853556,7.38596154422698,0.0167733499446745,0.20945349666222,"LACC1"
"148362",-4.64540545454322,-4.65497901246585,8.79855437799061,0.00726768457710419,0.162827060844483,"BROX"
"152831",4.20245960806104,4.2244000195741,4.8011327209004,0.00440679560509704,0.128898771449088,"KLB"
"157",4.06001182631882,4.06716027776291,7.08886271323208,0.0036573658304408,0.121364595082249,"GRK3"
"1622",-3.40172191498015,-3.40398476143818,9.48778683140768,0.0207367448017234,0.234198088268551,"DBI"
"163183",4.78700552763157,4.80936252029526,5.34530726852274,0.00109362194736449,0.0622477789499898,"SYNE4"
"166",-3.97571440659106,-3.98505334605485,8.23355964390478,0.02218568726293,0.239605422439644,"TLE5"
"171177",3.38240530273925,3.38712951961221,7.13351092060073,0.0139684309664395,0.200119153845726,"RHOV"
"1731",4.82476656772423,4.83850886595478,6.60301266054961,0.000784176111325681,0.0485727908956436,"SEPTIN1"
"1822",-3.72093835549455,-3.72357776807762,9.58626556083227,0.0126263605424058,0.196324565301781,"ATN1"
"1938",-3.21197737852304,-3.21266378603474,10.8661805410635,0.0196988271699978,0.22673617847854,"EEF2"
"195828",3.70254491210037,3.70598478044995,8.2424035664304,0.00683822731413825,0.160014519150835,"ZNF367"
"1975",-3.93002407926302,-3.93469090744862,9.05648156821714,0.0128379936373139,0.196324565301781,"EIF4B"
"1981",-4.57516137278193,-4.57994615261116,9.60393667068916,0.0039110723815509,0.121364595082249,"EIF4G1"
"2029",-4.877277044351,-4.88690956363061,8.99505535449983,0.004792066885568,0.133207303399404,"ENSA"
"203286",3.1184194824451,3.13129061518262,4.94490777098366,0.0340061437678245,0.288777978931607,"ANKS6"
"2058",-5.24162542413978,-5.2513334113923,9.30557240668061,0.00242064131111391,0.1031423813235,"EPRS1"
"2099",9.80283203728294,9.83173033332371,11.8698612700108,6.4786722176948e-09,1.36440836904653e-05,"ESR1"
"2195",-3.67376085250468,-3.67606430687498,9.71676647583187,0.0127601738117534,0.196324565301781,"FAT1"
"219578",6.05436090555798,6.07882319528848,7.19883336976632,5.15822257792112e-05,0.0108632167491019,"ZNF804B"
"222235",3.26594213144751,3.28329370862767,4.55905670621522,0.0303139528860934,0.273996501193617,"FBXL13"
"222255",3.72122752628677,3.72529825550678,7.90697829094641,0.00674637099132324,0.159638846154233,"ATXN7L1"
"22898",3.31495139044385,3.32393569312502,5.72484977486109,0.0193095384508673,0.226696243598357,"DENND3"
"22948",-2.99421984199594,-2.99713339903325,8.78474752046922,0.0466963113440124,0.33100325263703,"CCT5"
"22950",3.0967396707445,3.09944174914328,7.9587820630646,0.0223668987615591,0.240330044856344,"SLC4A1AP"
"22974",2.69831065783991,2.69906335460626,9.83201676051507,0.0418901020756201,0.319378647254102,"TPX2"
"23015",-3.49442723937367,-3.50049274229153,8.33252316195079,0.0329708352914385,0.287513099219752,"GOLGA8A"
"23019",-4.98833482830418,-4.99799240176235,9.08945004253505,0.0039054746267152,0.121364595082249,"CNOT1"
"23031",3.01889644601797,3.02437541126611,6.41671291691392,0.0296396277802007,0.272581031026649,"MAST3"
"23054",-4.12843366015801,-4.1378360639668,8.36225257955283,0.0174057765522251,0.213119566389454,"NCOA6"
"23098",3.64522290297358,3.65129767406301,6.90571871769288,0.00859155794343835,0.170696424800766,"SARM1"
"23288",-3.85942348544156,-3.86870938481738,8.13555074651123,0.0265585199143747,0.255398369587549,"IQCE"
"2330",3.35790673499607,3.36121670920448,7.8690590733004,0.0137808105480989,0.19878347270066,"FMO5"
"2335",2.99327322981195,3.00200759823766,5.51785922536572,0.0362234287895106,0.300680352793791,"FN1"
"23389",-4.51916803502,-4.52870527724736,8.69183939441414,0.00906025190182834,0.173462640956823,"MED13L"
