"genes","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"113746",7.3460335403545,7.60042109995453,4.27107716732421,1.55581213210947e-05,0.117130073335046
"2099",6.26171164526028,6.27118726795705,8.71356779916275,2.25185183764387e-05,0.117130073335046
"440028",6.54215881586108,6.69568509648496,4.11113885109868,5.58067850480298e-05,0.193519328284885
"100874179",5.78493845628455,5.88833017442736,3.84840720415626,0.00022229532169798,0.578134557906022
"284418",5.52227213351586,5.62529576859356,3.51941626704068,0.000415448539924211,0.81103140573056
"54033",5.61070683326821,5.7627992923435,2.95328281629349,0.000529272151865973,0.81103140573056
"10551",-5.95897611226457,-5.99125307518543,6.99241831310402,0.000553237903275617,0.81103140573056
"100131454",6.3538103943667,6.88833017442736,1.99974133365357,0.000623690401407717,0.81103140573056
"10090",5.20089598720264,5.3033676737062,3.15388922834558,0.000887499959549319,0.912099554785249
"102723989",5.03345423003751,5.1107225957638,3.45442736563341,0.000997854257966021,0.912099554785249
"402160",5.32186884544048,5.47329267514851,2.66421823475719,0.00105470923653772,0.912099554785249
"100134444",5.59870687573024,5.88833017442736,2.0622747615573,0.00140370086816155,0.912099554785249
"102465133",5.32718128422787,5.52576009504265,2.29694282181097,0.00151236096974437,0.912099554785249
"103504733",5.15311459447548,5.3033676737062,2.51735629945821,0.00156240866710989,0.912099554785249
"56548",5.1524033469983,5.3033676737062,2.51013466318504,0.00157469212173218,0.912099554785249
"729652",4.93841331885838,5.04033326787241,2.8873372671293,0.00163763940539756,0.912099554785249
"9001",4.62173650488731,4.66593775309091,3.9973663437069,0.00168946901263291,0.912099554785249
"103504739",4.97215386505744,5.09053341881338,2.69256257793828,0.00178802565386062,0.912099554785249
"1948",-5.32642047376186,-5.35841042406579,6.44258282886658,0.00198070642917857,0.912099554785249
"729920",-4.70284619954664,-4.71344061398036,7.28740336871005,0.00209074594937689,0.912099554785249
"120863",4.62037230392182,4.68187929695993,3.39042537032618,0.00213870918431321,0.912099554785249
"123745",4.78677793321682,4.88833017442736,2.74627756616349,0.00232348311186225,0.912099554785249
"101929234",4.43476708953772,4.47329267514851,4.03127234399534,0.00237324839740149,0.912099554785249
"101929310",4.96034884365945,5.1107225957638,2.34868308702104,0.0024687206928996,0.912099554785249
"101928448",4.96034884365945,5.1107225957638,2.34868308702104,0.0024687206928996,0.912099554785249
