"Geneid","logFC","unshrunk.logFC","logCPM","PValue","FDR","hgnc_symbol"
"100128494",-3.56906781048461,-3.58659496991862,6.2742873157035,0.0405270104107236,0.712491653446788,""
"100129075",5.91479337767174,6.02258376822336,3.7264217139035,0.000200538460853194,0.0990433303479579,"KTN1-AS1"
"100129518",7.44040078449185,7.6506149908364,4.52261435443405,1.01899556107595e-05,0.0517995595176026,"SOD2-OT1"
"100129792",5.18680218645105,5.73307715102837,1.49947874592379,0.0227449835534336,0.632810243181704,"CCDC152"
"100169761",-6.08081997400074,-6.11827368907986,7.55594489647042,0.00137517294573763,0.177121123688014,"RNA5S10"
"100169762",-6.08182658987249,-6.11928069164099,7.55680835297916,0.00137250514844929,0.177121123688014,"RNA5S11"
"100169763",-5.40194494520076,-5.4249714501432,7.56440167541092,0.00235453663756145,0.228949599267012,"RNA5S3"
"100169763",-5.40194494520076,-5.4249714501432,7.56440167541092,0.00235453663756145,0.228949599267012,"RNA5S12"
"100169764",-5.29990639488493,-5.32084110580872,7.59312265693347,0.00250254633826135,0.238716920188697,"RNA5S13"
"100169765",-5.01290334616247,-5.02992196610162,7.59833873447606,0.00329794518209614,0.278429969683864,"RNA5S14"
"100169766",-4.82900413750403,-4.84390998049167,7.6012665706499,0.00398629351485713,0.295149376203746,"RNA5S15"
"100169767",-4.3469610150911,-4.35744597433917,7.61294915706143,0.00681944657766443,0.424615696344106,"RNA5S16"
"100169768",-4.45360146626125,-4.46497127113127,7.6065977617007,0.00604218780009694,0.403453358106473,"RNA5S17"
"100287284",4.85127092317388,5.14811465030722,1.75110633120936,0.0169075012793361,0.603404419810757,"MANSC4"
"100288142",-5.35673905546999,-5.42999382156156,6.11441519587848,0.014465186116335,0.594355205407765,"NBPF20"
"100422976",6.31062606768591,6.47004274519458,3.49235907984712,0.000123193461596029,0.0988279317323097,"MIR4256"
"100499467",4.13210650291602,4.14811465030722,5.3996406016426,0.00350100772523282,0.285725442806662,"LINC00511"
"100505811",3.53738268936226,3.56315214958606,3.85535750922719,0.0158058169660373,0.603404419810757,"LINC02148"
"100505967",2.68965543176724,2.69354878684174,6.47795524980764,0.0463104829358153,0.741082075888948,"LINC00645"
"100506068",5.84648075782558,6.14811465030722,2.24315561535798,0.00132385004869641,0.177121123688014,"DACT3-AS1"
"100506606",5.57494196293807,5.73307715102837,2.7881719170793,0.000833035616793742,0.156140644948574,""
"100506826",6.91483304031207,7.47004274519458,2.39164001178156,0.000242606478638929,0.0990433303479579,"MYLK-AS1"
"100507246",-3.98963133425863,-4.00756375712684,6.6274963954237,0.0214980459320747,0.619463280490303,"SNHG16"
"100507316",3.66037932641164,3.68868303166992,3.80077721319229,0.0128839559970913,0.568830678632307,"MINCR"
"100507650",2.97458817703759,2.98372783240633,5.18347641040404,0.0320894121962692,0.673419235947421,"RNF212B"
"100775107",3.30847903410234,3.31803965174953,5.45790239244724,0.0169935234848241,0.603404419810757,"RBM5-AS1"
"100847012",5.34595905204773,5.73307715102837,1.7679884415711,0.00841200522675501,0.469357737856973,"MIR5004"
"100874201",5.43663528708026,5.49603795372752,4.30192122350468,0.000355010257721944,0.113371754042073,"B4GALT4-AS1"
"100874300",4.04497933828591,4.14811465030722,2.32010814618867,0.0197985657146892,0.603404419810757,"SYNJ2-IT1"
"100874366",3.98425115576969,4.03263743288728,3.21897119651892,0.00949045992655234,0.508813344237423,"HOXC13-AS"
"10109",-3.6156669581952,-3.63324506321744,6.31341882023901,0.0378826483201802,0.705068730341673,"ARPC2"
"10163",-3.96839699909013,-3.98631166991371,6.60965489331436,0.0222270419907712,0.630338314371485,"WASF2"
"10172",3.0431120102649,3.06065180905688,4.09604247337396,0.0351281625420195,0.690526468184293,"ZNF256"
"101926943",-4.8028454101972,-4.90812458530037,5.19152778744006,0.0496550694986349,0.753716033367667,""
"101927286",4.57814071526523,4.73307715102837,2.17277135320046,0.0104620116808908,0.518574140210112,"LINC02254"
"101927581",6.42984299584667,6.73307715102837,2.66933984316123,0.000269650947485222,0.0990433303479579,"CCDC182"
"101928363",3.99636989026529,4.14811465030722,1.93954193748461,0.0378863124547542,0.705068730341673,"EHD4-AS1"
"101928834",3.94314964017748,3.9781896488649,3.68356242525514,0.00800814922961671,0.456142972416628,""
"101929196",3.70704065950238,3.73307715102837,3.97952730974899,0.0110845663734496,0.518574140210112,"THSD4-AS1"
"101930452",6.42984299584667,6.73307715102837,2.66933984316123,0.000269650947485222,0.0990433303479579,"LINC02367"
"101954266",3.82207700247637,3.84026982297938,4.75554767398366,0.00724008349706977,0.443153444049812,"RNVU1-14"
"10202",4.45841834793766,4.56315214958606,2.52209891327917,0.00764172264337388,0.456142972416628,"DHRS2"
"10209",-3.72900775901604,-3.74670311300073,6.40859287843106,0.0320556060977595,0.673419235947421,"EIF1"
"10218",6.15378502686295,6.23557749155755,4.63003649966817,8.10680419738244e-05,0.0988279317323097,"ANGPTL7"
"10241",-3.17426585183052,-3.1828022278074,6.80347250332214,0.0440251841756677,0.7234115833787,"CALCOCO2"
"102466864",-3.34814914185613,-3.35967998989148,6.5904269554579,0.0409488373671839,0.714232801953647,"MIR6516"
"10349",3.39070362327997,3.41114905614101,4.12140613064445,0.0189253383940704,0.603404419810757,"ABCA10"
"103504731",-3.14320937128139,-3.14923104224601,7.21217927033381,0.0379753921436941,0.705068730341673,"MIR3648-2"
"10398",3.24614262461525,3.27364553239107,3.5404554504884,0.0299162697410578,0.673419235947421,"MYL9"
