"Geneid","logFC","unshrunk.logFC","logCPM","PValue","FDR","hgnc_symbol"
"100169751",-3.89804734405462,-3.92207485612706,4.68438380233352,0.00648382551107608,0.999967231249195,"RNA5S1"
"100169753",-3.83271077274181,-3.85497349479597,4.72572801668085,0.0071645940824508,0.999967231249195,"RNA5S2"
"100169754",-3.83271077274181,-3.85497349479597,4.72572801668085,0.0071645940824508,0.999967231249195,"RNA5S3"
"100169755",-3.834097166568,-3.85636149030687,4.72697471026656,0.00714505393797359,0.999967231249195,"RNA5S4"
"100169756",-3.83585974312158,-3.8581261009211,4.72855984258757,0.00712028368370311,0.999967231249195,"RNA5S5"
"100169757",-3.83585974312158,-3.8581261009211,4.72855984258757,0.00712028368370311,0.999967231249195,"RNA5S6"
"100169758",-3.81587171204366,-3.8378061165415,4.72979177646219,0.0073664414634906,0.999967231249195,"RNA5S7"
"100169759",-3.81851154584477,-3.84044899213197,4.73216419101294,0.00732828747573176,0.999967231249195,"RNA5S8"
"10100",3.5387072912454,3.62326399749155,2.63950173352628,0.0243015860352219,0.999967231249195,"TSPAN2"
"128344",2.98384993498218,3.03830149677039,2.68862741241923,0.0479967460327641,0.999967231249195,"PIFO"
"132203",2.82562800142056,2.84190428396689,4.13202821020277,0.0414903181902529,0.999967231249195,"SNTN"
"136288",3.32841704010043,3.41175989229784,2.47319464782995,0.0344323787258825,0.999967231249195,"C7orf57"
"146177",4.11909864799655,4.14872548646404,4.57374727230783,0.00433418493344004,0.999967231249195,"VWA3A"
"147719",3.58391288202206,3.74879487957541,1.91073655069915,0.037283677482545,0.999967231249195,"LYPD4"
"150356",3.58391288202206,3.74879487957541,1.91073655069915,0.037283677482545,0.999967231249195,"CHADL"
"151887",3.60250319958589,3.68739433491126,2.69100885494145,0.0218011448699133,0.999967231249195,"CCDC80"
"165186",3.58391288202206,3.74879487957541,1.91073655069915,0.037283677482545,0.999967231249195,"TOGARAM2"
"200162",3.15185086372435,3.17763817837928,3.82280564351603,0.0264883567494225,0.999967231249195,"SPAG17"
"200373",4.03123738890598,4.11802868924113,3.04869190891299,0.0101705796419932,0.999967231249195,"CFAP221"
"200772",4.09135420236358,4.41175989229784,1.62826756625446,0.0303147647557841,0.999967231249195,"UICLM"
"201625",3.70383348319695,3.71842123053189,5.15764889993994,0.0078405088994958,0.999967231249195,"DNAH12"
"2153",4.32396123995461,4.41175989229784,3.30311540803454,0.00586174587038197,0.999967231249195,"F5"
"222256",3.76122332972493,3.79610059435376,4.00082912385166,0.00956301873857936,0.999967231249195,"CDHR3"
"253982",4.34276230905264,4.43061891954915,3.31970591450462,0.0056534911034425,0.999967231249195,"ASPHD1"
"25790",3.82066807266444,3.86427209699534,3.75508987992156,0.00955958010818415,0.999967231249195,"CFAP45"
"283463",7.0414047560023,7.21911481435544,4.97843875474515,3.98100716119389e-05,0.36589436818533,"MUC19"
"283575",3.12623117598258,3.2082264982127,2.31864253045108,0.0474607801205375,0.999967231249195,"LINC02288"
"339145",3.80429851361668,3.97118730091185,2.07357067097998,0.0263642154324278,0.999967231249195,"CIBAR2"
"383",3.45965759608819,3.62326399749155,1.82202518036687,0.0450071383486207,0.999967231249195,"ARG1"
"388697",3.90303068901314,4.07072297446277,2.1486963141872,0.0224575546248577,0.999967231249195,"HRNR"
"4005",3.69830986722863,3.86427209699534,1.99440399049126,0.0312076976768435,0.999967231249195,"LMO2"
"4069",4.24169679522587,4.41175989229784,2.415875832411,0.0126578687288654,0.999967231249195,"LYZ"
"55911",5.17932142700411,5.35365693773427,3.21923514156872,0.00218564900170633,0.999967231249195,"APOBR"
"57575",-3.97413182383851,-3.98997295722479,5.33498255907002,0.00478463153217315,0.999967231249195,"PCDH10"
"5778",2.73201183866958,2.73874121491148,5.27363922155746,0.042569535777257,0.999967231249195,"PTPN7"
"5858",3.80429851361668,3.97118730091185,2.07357067097998,0.0263642154324278,0.999967231249195,"PZP"
"59352",4.46792606875226,4.55614980163301,3.43086178631124,0.00443340865869471,0.999967231249195,"LGR6"
"6097",2.73092154250326,2.74879487957541,3.90955474460234,0.0497666479590906,0.999967231249195,"RORC"
"6101",3.55454654256463,3.66633271938343,2.31995857317593,0.0289018653827752,0.999967231249195,"RP1"
"645191",3.84597748800088,3.93201670363118,2.89178190695099,0.0142361042201325,0.999967231249195,"LINGO3"
"646457",3.80429851361668,3.97118730091185,2.07357067097998,0.0263642154324278,0.999967231249195,"C19orf67"
"6853",3.75502602453676,4.07072297446277,1.40309420944892,0.0494856705530664,0.999967231249195,"SYN1"
"6910",4.31525241542857,4.48576047374161,2.47572507756324,0.0111245871028118,0.999967231249195,"TBX5"
"716",4.16418852370042,4.33375738029656,2.35348895754977,0.0144775252628248,0.999967231249195,"C1S"
"79740",3.44364154222098,3.45928826238042,4.80061060068457,0.013292863545706,0.999967231249195,"ZBBX"
"79747",3.380541673209,3.43685087326067,3.00630141857439,0.0248874729684862,0.999967231249195,"ADGB"
"80070",3.32841704010043,3.41175989229784,2.47319464782995,0.0344323787258825,0.999967231249195,"ADAMTS20"
"84125",3.01512543423539,3.03172884284691,4.29278484185049,0.0298863771618368,0.999967231249195,"LRRIQ1"
"89766",3.60250319958589,3.68739433491126,2.69100885494145,0.0218011448699133,0.999967231249195,"UMODL1"
"90288",3.16650047390403,3.2082264982127,3.19538154127915,0.031151570917473,0.999967231249195,"EFCAB12"
"92749",3.87840179974802,3.93642188275118,3.42900388938232,0.0101558996209903,0.999967231249195,"DRC1"
