raw_id,gene,logFC,unshrunk.logFC,logCPM,PValue,FDR,sample,tumor,Cell_line,Estrogen_status
Adrenal.2,3651,4.576876871,4.74879488,2.693390859,0.006939795,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,124773,4.576876871,4.74879488,2.693390859,0.006939795,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,6854,4.576876871,4.74879488,2.693390859,0.006939795,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,100169756,-3.835859743,-3.858126101,4.728559843,0.007120284,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,100169757,-3.835859743,-3.858126101,4.728559843,0.007120284,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,100169755,-3.834097167,-3.85636149,4.72697471,0.007145054,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,100169753,-3.832710773,-3.854973495,4.725728017,0.007164594,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,100169754,-3.832710773,-3.854973495,4.725728017,0.007164594,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,100169759,-3.818511546,-3.840448992,4.732164191,0.007328287,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,51252,4.546653282,4.718421231,2.667880262,0.007335803,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,116496,4.205699209,4.293115396,3.199426935,0.007343904,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,100169758,-3.815871712,-3.837806117,4.729791776,0.007366441,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,9496,3.768834881,3.788323244,4.814458752,0.007479742,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,4744,4.515782955,4.687394335,2.641919268,0.007761604,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,27145,4.515782955,4.687394335,2.641919268,0.007761604,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,201625,3.703833483,3.718421231,5.1576489,0.007840509,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,91156,4.164021494,4.25129522,3.163169201,0.007944057,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,54848,3.756650818,3.778542223,4.63977983,0.007967199,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,1281,-3.682132947,-3.694148616,5.433821651,0.008012431,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,6286,3.699725144,3.715628016,5.031825706,0.008085301,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,2568,-3.693301508,-3.710636739,4.934771056,0.008656984,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,101927666,4.451987046,4.623263997,2.588580631,0.008714151,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,347731,-3.954000463,-4.006092623,3.698226526,0.008777568,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,5655,3.530183104,3.536386547,6.199696842,0.009523382,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,25790,3.820668073,3.864272097,3.75508988,0.00955958,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,222256,3.76122333,3.796100594,4.000829124,0.009563019,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,230,4.385239041,4.556149802,2.533234771,0.00982404,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,129446,4.385239041,4.556149802,2.533234771,0.00982404,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,646300,4.385239041,4.556149802,2.533234771,0.00982404,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,1384,4.385239041,4.556149802,2.533234771,0.00982404,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,92749,3.8784018,3.936421883,3.429003889,0.0101559,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,287,3.8784018,3.936421883,3.429003889,0.0101559,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,200373,4.031237389,4.118028689,3.048691909,0.01017058,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,5327,3.592716612,3.610088609,4.801598259,0.010234866,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,375323,3.984113882,4.070722974,3.008460102,0.011089363,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,6910,4.315252415,4.485760474,2.475725078,0.011124587,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,5104,3.494489998,3.50778678,5.080150497,0.011590256,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,3745,3.806464157,3.864272097,3.366477644,0.011613354,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,641455,4.899519245,5.359457891,1.895329746,0.012011311,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,283310,3.935399029,4.021813374,2.967095514,0.012118334,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,133396,4.645085395,4.971187301,2.035926502,0.012507071,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,8618,3.61467532,3.649259206,3.871108545,0.012626907,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,266675,4.241696795,4.411759892,2.415875832,0.012657869,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,126638,4.241696795,4.411759892,2.415875832,0.012657869,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,55359,4.241696795,4.411759892,2.415875832,0.012657869,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,4069,4.241696795,4.411759892,2.415875832,0.012657869,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,150084,4.241696795,4.411759892,2.415875832,0.012657869,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,1836,3.363037134,3.368403523,6.238295211,0.013019301,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,79740,3.443641542,3.459288262,4.800610601,0.013292864,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,118430,3.644215976,3.687394335,3.600275414,0.013316311,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,374407,3.730750344,3.788323244,3.301166705,0.013352208,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,645191,3.845977488,3.932016704,2.891781907,0.014236104,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,127670,4.164188524,4.33375738,2.353488958,0.014477525,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,716,4.164188524,4.33375738,2.353488958,0.014477525,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,84530,4.164188524,4.33375738,2.353488958,0.014477525,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,146212,4.164188524,4.33375738,2.353488958,0.014477525,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,152273,4.164188524,4.33375738,2.353488958,0.014477525,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,4045,4.164188524,4.33375738,2.353488958,0.014477525,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,57709,4.164188524,4.33375738,2.353488958,0.014477525,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,5294,4.164188524,4.33375738,2.353488958,0.014477525,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,115019,3.832738216,3.918719881,2.880700773,0.0145767,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,79935,3.325611021,3.33375738,5.605157895,0.014709751,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,100873980,3.650841853,3.708152895,3.232812958,0.015442107,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,342538,3.650841853,3.708152895,3.232812958,0.015442107,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,100874243,3.630153492,3.687394335,3.215215357,0.016029532,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,2849,3.778531678,3.864272097,2.835521731,0.016049443,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,344387,3.778531678,3.864272097,2.835521731,0.016049443,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,800,3.778531678,3.864272097,2.835521731,0.016049443,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,103504739,-4.070495016,-4.215339668,2.532058536,0.016253289,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,100505967,-3.435154987,-3.460658486,4.156502631,0.016267126,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,2977,-3.759469167,-3.836167621,3.0248101,0.016507231,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,23026,3.251262439,3.258068449,5.786043984,0.016564769,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,270,3.609164138,3.666332719,3.197404286,0.016646121,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,6688,4.08227855,4.25129522,2.288340048,0.016652633,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,6664,4.08227855,4.25129522,2.288340048,0.016652633,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,8291,4.08227855,4.25129522,2.288340048,0.016652633,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,140731,4.08227855,4.25129522,2.288340048,0.016652633,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,389136,4.08227855,4.25129522,2.288340048,0.016652633,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
