"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"WP437","EGF/EGFR Signaling Pathway",10,-0.411027215311538,-1.47797948602143,0.0867992766726944,0.260397830018083,0.260397830018083,269,"tags=90%, list=50%, signal=46%","2475/5900/466/5921/2549/6772/6654/58513/6777"
"WP3932","Focal Adhesion-PI3K-Akt-mTOR-signaling pathway",13,-0.248268724492808,-1.01413746716727,0.419469026548673,0.629203539823009,0.629203539823009,290,"tags=85%, list=54%, signal=40%","64764/92335/2475/2997/1289/1994/50509/6654/3915/55970/7422"
"WP4172","PI3K-Akt Signaling Pathway",10,-0.202392268954996,-0.727765973885914,0.786618444846293,0.786618444846293,0.786618444846293,269,"tags=70%, list=50%, signal=35%","2475/2997/1287/6654/3915/55970/7422"
